"股票代號","股票名稱","年月日","單月合併營收(千)","單月合併營收年成長(%)","單月合併營收月變動(%)","累計合併營收(千)","去年累計合併營收(千)","累計合併營收成長(%)","近12月累計合併營收(千)","近12月營收合併成長(%)"
1101,台泥,201707,8034396,2.79,2.24,53928247,48482772,11.23,95017143,8.55
1101,台泥,201708,6952639,-6.74,-13.46,60880886,55937677,8.84,94514877,7.9
1101,台泥,201709,8071192,13.89,16.09,68952108,63016298,9.42,95499023,8.95
1101,台泥,201710,8387381,1.53,3.92,77339459,71286099,8.49,95625028,8.87
1101,台泥,201711,9985897,12.62,19.06,87325356,80153087,8.95,96743937,9.07
1101,台泥,201712,10988149,16.66,10.04,98311776,89564306,9.76,98311776,9.76
1101,台泥,201801,9617393,56.85,-12.47,9617393,6131670,56.85,101799228,14.22
1101,台泥,201802,4811678,-19.33,-49.97,14429071,12096661,19.28,100645915,10.04
1101,台泥,201803,9750141,7.34,102.63,24179214,21179771,14.16,101312945,8.91
1101,台泥,201804,11153696,33.25,14.4,35332908,29550250,19.57,104096163,10.58
1101,台泥,201805,11683326,37.69,4.75,47016234,38035282,23.61,107294457,13.24
1102,亞泥,201707,5252149,9.67,-1.49,34064298,33918526,0.43,61118383,-1.89
1102,亞泥,201708,5478165,7.28,4.3,39542463,39024808,1.33,61490266,-0.64
1102,亞泥,201709,5806573,14.34,5.99,45349036,44104283,2.82,62218428,1.3
1102,亞泥,201710,5840273,5.92,0.58,51189309,49616878,3.17,62545042,2.48
1102,亞泥,201711,6639248,24.52,13.68,57828557,54948656,5.24,63852512,4.99
1102,亞泥,201712,7070625,17.38,6.5,64899248,60946190,6.49,64899248,6.49
1102,亞泥,201801,6769986,62.66,-4.25,6769986,4162130,62.66,67507039,12.38
1102,亞泥,201802,3408539,11.78,-49.65,10178525,7211591,41.14,67866117,12.13
1102,亞泥,201803,6395353,20.46,87.63,16573882,12512699,32.46,68952516,13.98
1102,亞泥,201804,7188266,37.74,12.4,23762145,17739190,33.95,70922136,17.9
1102,亞泥,201805,7698165,34.08,7.09,31460310,23480707,33.98,72878784,20.35
1103,嘉泥,201707,153905,-42.74,7.15,1212790,1630494,-25.62,2722643,-5.23
1103,嘉泥,201708,174704,-11.2,13.51,1387494,1827240,-24.07,2700601,-6.41
1103,嘉泥,201709,177734,-35.91,1.73,1565230,2104649,-25.63,2600995,-12.54
1103,嘉泥,201710,167398,-44.03,-5.82,1732626,2403650,-27.92,2469323,-16.33
1103,嘉泥,201711,181868,-48.54,8.64,1914494,2757087,-30.56,2297753,-23.6
1103,嘉泥,201712,181112,-52.71,-0.42,2095607,3140190,-33.26,2095607,-33.26
1103,嘉泥,201801,172094,-26.03,-4.98,172094,232657,-26.03,2035321,-35.9
1103,嘉泥,201802,125590,-26.78,-27.02,297684,404170,-26.35,1989398,-37.9
1103,嘉泥,201803,173573,-10.81,38.21,471257,598477,-21.26,1968357,-38.44
1103,嘉泥,201804,170887,28.54,-1.55,642144,731446,-12.21,2006304,-35.89
1103,嘉泥,201805,185856,1.11,8.76,828000,915256,-9.53,2008350,-32.41
1104,環泥,201707,357742,0.84,12.16,2517506,2680230,-6.07,4459476,-8.49
1104,環泥,201708,367333,-5.54,2.68,2884839,3069125,-6,4437914,-9.17
1104,環泥,201709,403016,37.27,9.71,3287855,3362708,-2.23,4547340,-4.38
1104,環泥,201710,336159,-12.71,-16.59,3624014,3747842,-3.3,4498372,-3.86
